собраны фото да нет,Kod,Nash tur,Slug,Dnej,Operator,Ssylka operatora,Foto 1,Foto 2,Foto 3,Foto 4,Foto 5,Foto 6,Foto 7,Foto 8,Foto 9,Foto 10,Foto 11,Foto 12,Foto 13,Foto 14,Foto 15,Foto 16,Foto 17,Foto 18,Foto 19,Foto 20,Foto 21,Foto 22,Foto 23,Foto 24,Foto 25,Foto 26,Foto 27,Foto 28,Foto 29,Foto 30,Foto 31,Foto 32,Foto 33,Foto 34,Foto 35,Foto 36,Foto 37,Foto 38,Foto 39,Foto 40,Foto 41
да,1001,Абрау — Новороссийск — Геленджик,abrau-novorossijsk-gelendzhik-1-den,1,Amra Turistik,https://amra-turistik.ru/tours/lyubimaya-klassika-ot-abrau-do-gelendzhika-3/,Набережная Геленджика,Абрау-Дюрсо,Малая Земля,Старый Парк в Кабардинке,Абрау — Новороссийск,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1002,Абрау-Дюрсо по-новому и Геленджик,abrau-dyurso-po-novomu-gelendzhik,1,Amra Turistik,https://amra-turistik.ru/tours/abrau-dyurso-po-novomu-i-shato-pino-4,Набережная Геленджика,Завод шампанских вин «Абрау-Дюрсо»,Эко-тропа вокруг озера Абрау — 7 км,Абрау-Дюрсо по-новому,Абрау-Дюрсо (эко-тропа) — Геленджик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1003,Абрау-Дюрсо: винный день,abrau-dyurso-vinnyj-den,1,Amra Turistik,https://amra-turistik.ru/tours/abrau-dyurso-po-novomu-i-shato-pino-2/,Абрау-Дюрсо,Озеро Абрау,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1004,Абрау-Дюрсо: эко-тропа и Шато-Пино,abrau-eko-tropa-shato-pino,1,Amra Turistik,https://amra-turistik.ru/tours/abrau-dyurso-po-novomu-i-shato-pino-2/,Абрау-Дюрсо,Геленджик,Эко-тропа вокруг озера Абрау,Шато-Пино,Малая группа,Горы Колдун,Бесплатно,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1005,Абхазия на 3 дня,abhazia-3-dnya,3,Amra Turistik,https://amra-turistik.ru/tours/pervomajskie-prazdniki-v-abhazii,Абхазия,Озеро Рица,Новоафонская пещера,Девичьи слёзы,Мужские слёзы,Юпшарский каньон,Новоафонский монастырь,Анакопийская крепость,Новый Афон,Юпшарское ущелье,Генуэзская башня,Гагра,Пицунда,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1006,Адыгея: горы и термальные источники,adygeya-termy-weekend,2,Amra Turistik,https://amra-turistik.ru/tours/relaks-tur-guamskoe-ushhele-i-termalnye-istochniki-42,Адыгея,Лаго-Наки,Термальные источники,Водопады Руфабго,Каскадный,Сердце Руфабго,Девичья коса,Река Белая,Парк Мишоко,Хаджохская теснина,Плато Лаго,Азишская пещера,Термы,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1007,Архыз: горный уикенд,arhyz-gornyj-weekend,2,Amra Turistik,https://amra-turistik.ru/tours/vesna-v-gorah-arhyza-dzhip-den-3,Нижний Архыз,Софийские водопады,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1008,Великолепие Восточного Крыма: от Звездопада Воспоминаний до Алчак-Кая,velikolepie-vostochnogo-kryma-zvezdopad-alchak,1,Amra Turistik,https://amra-turistik.ru/tours/velikolepie-vostochnogo-kryma-ot-zvezdopada-vospominanij-do-alchak-kaya-14,Секретная бухта мыса Бугаз,Статуи Моаи в бухте Капсель,Звездопад Воспоминаний — Бугаз,Джан-Кутаран,Алчак-Кая,Горы Джан,Мыс Бугаз,Мыс Алчак,Гора Джан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1009,Верхняя Балкария и Чегемские водопады,verkhnyaya-balkariya-chegem,1,Amra Turistik,https://amra-turistik.ru/tours/chegem-i-yazyk-trollya-s-krasaviczej-verhnej-balkariej-14,Приэльбрусье,Язык тролля,Чегемские водопады,Верхняя Балкария,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1010,"Весеннее цветение Крыма: тюльпаны, сады, пещерные города и дворцы",vesennee-czvetenie-kryma-2-dnya,2,Amra Turistik,https://amra-turistik.ru/tours/vesennee-czvetenie-kryma-tyulpany-sady-peshhernye-goroda-i-dvorczy-2,Парад тюльпанов в Никитском саду,Пещерный город Мангуп-Кале,Бахчисарай и Ханский дворец,Морская прогулка к Ласточкину гнезду,Цветущие персиковые сады,Чуфут-Кале,Успенский монастырь,Аю-Даг,Крымский мост,Свято-Успенский,Гурзуф — Никитский сад,Мангуп-Кале — Бахчисарай,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
