собраны фото да нет,Kod,Nash tur,Slug,Dnej,Operator,Ssylka operatora,Foto 1,Foto 2,Foto 3,Foto 4,Foto 5,Foto 6,Foto 7,Foto 8,Foto 9,Foto 10,Foto 11,Foto 12,Foto 13,Foto 14,Foto 15,Foto 16,Foto 17,Foto 18,Foto 19,Foto 20,Foto 21,Foto 22,Foto 23,Foto 24,Foto 25,Foto 26,Foto 27,Foto 28,Foto 29,Foto 30,Foto 31,Foto 32,Foto 33,Foto 34,Foto 35,Foto 36,Foto 37,Foto 38,Foto 39,Foto 40,Foto 41
да,1001,Абрау — Новороссийск — Геленджик,abrau-novorossijsk-gelendzhik-1-den,1,Amra Turistik,https://amra-turistik.ru/tours/lyubimaya-klassika-ot-abrau-do-gelendzhika-3/,https://storage.yandexcloud.net/kraskideti/tours/%D0%9D%D0%B0%D0%B1%D0%B5%D1%80%D0%B5%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%93%D0%B5%D0%BB%D0%B5%D0%BD%D0%B4%D0%B6%D0%B8%D0%BA%D0%B0.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%D0%B4%D1%8E%D1%80%D1%81%D0%BE.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%9C%D0%B0%D0%BB%D0%B0%D1%8F%20%D0%97%D0%B5%D0%BC%D0%BB%D1%8F.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A1%D1%82%D0%B0%D1%80%D1%8B%D0%B9%20%D0%9F%D0%B0%D1%80%D0%BA%20%D0%B2%20%D0%9A%D0%B0%D0%B1%D0%B0%D1%80%D0%B4%D0%B8%D0%BD%D0%BA%D0%B5.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%D0%B4%D1%8E%D1%80%D1%81%D0%BE.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1002,Абрау-Дюрсо по-новому и Геленджик,abrau-dyurso-po-novomu-gelendzhik,1,Amra Turistik,https://amra-turistik.ru/tours/abrau-dyurso-po-novomu-i-shato-pino-4,https://storage.yandexcloud.net/kraskideti/tours/%D0%9D%D0%B0%D0%B1%D0%B5%D1%80%D0%B5%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%93%D0%B5%D0%BB%D0%B5%D0%BD%D0%B4%D0%B6%D0%B8%D0%BA%D0%B0.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%D0%B4%D1%8E%D1%80%D1%81%D0%BE.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%AD%D0%BA%D0%BE-%D1%82%D1%80%D0%BE%D0%BF%D0%B0%20%D0%B2%D0%BE%D0%BA%D1%80%D1%83%D0%B3%20%D0%BE%D0%B7%D0%B5%D1%80%D0%B0%20%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%E2%80%94%207%20%D0%BA%D0%BC.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%D0%B4%D1%8E%D1%80%D1%81%D0%BE.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%D0%B4%D1%8E%D1%80%D1%81%D0%BE.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1003,Абрау-Дюрсо: винный день,abrau-dyurso-vinnyj-den,1,Amra Turistik,https://amra-turistik.ru/tours/abrau-dyurso-po-novomu-i-shato-pino-2/,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%D0%B4%D1%8E%D1%80%D1%81%D0%BE.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%9E%D0%B7%D0%B5%D1%80%D0%BE%20%D0%90%D0%B1%D1%80%D0%B0%D1%83.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1004,Абрау-Дюрсо: эко-тропа и Шато-Пино,abrau-eko-tropa-shato-pino,1,Amra Turistik,https://amra-turistik.ru/tours/abrau-dyurso-po-novomu-i-shato-pino-2/,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%D0%B4%D1%8E%D1%80%D1%81%D0%BE.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%9D%D0%B0%D0%B1%D0%B5%D1%80%D0%B5%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%93%D0%B5%D0%BB%D0%B5%D0%BD%D0%B4%D0%B6%D0%B8%D0%BA%D0%B0.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%AD%D0%BA%D0%BE-%D1%82%D1%80%D0%BE%D0%BF%D0%B0%20%D0%B2%D0%BE%D0%BA%D1%80%D1%83%D0%B3%20%D0%BE%D0%B7%D0%B5%D1%80%D0%B0%20%D0%90%D0%B1%D1%80%D0%B0%D1%83%20%E2%80%94%207%20%D0%BA%D0%BC.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%A8%D0%B0%D1%82%D0%BE-%D0%9F%D0%B8%D0%BD%D0%BE.jpg,,https://storage.yandexcloud.net/kraskideti/tours/%D0%93%D0%BE%D1%80%D1%8B%20%D0%9A%D0%BE%D0%BB%D0%B4%D1%83%D0%BD.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1005,Абхазия на 3 дня,abhazia-3-dnya,3,Amra Turistik,https://amra-turistik.ru/tours/pervomajskie-prazdniki-v-abhazii,https://storage.yandexcloud.net/kraskideti/tours/%D0%93%D0%B0%D0%B3%D1%80%D0%B0.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9E%D0%B7%D0%B5%D1%80%D0%BE%20%D0%A0%D0%B8%D1%86%D0%B0.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%9D%D0%BE%D0%B2%D0%BE%D0%B0%D1%84%D0%BE%D0%BD%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%B5%D1%89%D0%B5%D1%80%D0%B0.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%B4%D0%B5%D0%B2%D0%B8%D1%87%D1%8C%D0%B8%20%D1%81%D0%BB%D0%B5%D0%B7%D1%8B.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5%20%D1%81%D0%BB%D0%B5%D0%B7%D1%8B.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%AE%D0%BF%D1%88%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D0%B0%D0%BD%D1%8C%D0%BE%D0%BD.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9D%D0%BE%D0%B2%D0%BE%D0%B0%D1%84%D0%BE%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BC%D0%BE%D0%BD%D0%B0%D1%81%D1%82%D1%8B%D1%80%D1%8C.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%BD%D0%B0%D0%BA%D0%BE%D0%BF%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BA%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D1%8C.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%B0%D1%84%D0%BE%D0%BD.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D1%80%D0%B3%D1%83%D0%BD%D1%81%D0%BA%D0%BE%D0%B5%20%D1%83%D1%89%D0%B5%D0%BB%D1%8C%D0%B5.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%93%D0%B5%D0%BD%D1%83%D1%8D%D0%B7%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B1%D0%B0%D1%88%D0%BD%D1%8F.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%93%D0%B0%D0%B3%D1%80%D0%B0.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9F%D0%B8%D1%86%D1%83%D0%BD%D0%B4%D0%B0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1006,Адыгея: горы и термальные источники,adygeya-termy-weekend,2,Amra Turistik,https://amra-turistik.ru/tours/relaks-tur-guamskoe-ushhele-i-termalnye-istochniki-42,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%B4%D1%8B%D0%B3%D0%B5%D1%8F.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%9B%D0%B0%D0%B3%D0%BE-%D0%9D%D0%B0%D0%BA%D0%B8.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A2%D0%B5%D1%80%D0%BC%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%B8%D1%81%D1%82%D0%BE%D1%87%D0%BD%D0%B8%D0%BA%D0%B8.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B%20%D0%A0%D1%83%D1%84%D0%B0%D0%B1%D0%B3%D0%BE.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9A%D0%B0%D1%81%D0%BA%D0%B0%D0%B4%D0%BD%D1%8B%D0%B9.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%A1%D0%B5%D1%80%D0%B4%D1%86%D0%B5%20%D0%A0%D1%83%D1%84%D0%B0%D0%B1%D0%B3%D0%BE.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B%20%D0%94%D0%B5%D0%B2%D0%B8%D1%87%D1%8C%D0%B8.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A0%D0%B5%D0%BA%D0%B0%20%D0%91%D0%B5%D0%BB%D0%B0%D1%8F.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9F%D0%B0%D1%80%D0%BA%20%D0%9C%D0%B8%D1%88%D0%BE%D0%BA%D0%BE.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A5%D0%B0%D0%B4%D0%B6%D0%BE%D1%85%D1%81%D0%BA%D0%B0%D1%8F%20%D1%82%D0%B5%D1%81%D0%BD%D0%B8%D0%BD%D0%B0.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9F%D0%BB%D0%B0%D1%82%D0%BE%20%D0%9B%D0%B0%D0%B3%D0%BE.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%B7%D0%B8%D1%88%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%B5%D1%89%D0%B5%D1%80%D0%B0.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A2%D0%B5%D1%80%D0%BC%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%B8%D1%81%D1%82%D0%BE%D1%87%D0%BD%D0%B8%D0%BA%D0%B8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1007,Архыз: горный уикенд,arhyz-gornyj-weekend,2,Amra Turistik,https://amra-turistik.ru/tours/vesna-v-gorah-arhyza-dzhip-den-3,https://storage.yandexcloud.net/kraskideti/tours/%D0%9D%D0%B8%D0%B6%D0%BD%D0%B8%D0%B9%20%D0%90%D1%80%D1%85%D1%8B%D0%B7.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A1%D0%BE%D1%84%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B5%20%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1008,Великолепие Восточного Крыма: от Звездопада Воспоминаний до Алчак-Кая,velikolepie-vostochnogo-kryma-zvezdopad-alchak,1,Amra Turistik,https://amra-turistik.ru/tours/velikolepie-vostochnogo-kryma-ot-zvezdopada-vospominanij-do-alchak-kaya-14,https://storage.yandexcloud.net/kraskideti/tours/%D0%A1%D0%B5%D0%BA%D1%80%D0%B5%D1%82%D0%BD%D0%B0%D1%8F%20%D0%B1%D1%83%D1%85%D1%82%D0%B0%20%D0%BC%D1%8B%D1%81%D0%B0%20%D0%91%D1%83%D0%B3%D0%B0%D0%B7.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A1%D1%82%D0%B0%D1%82%D1%83%D0%B8%20%D0%9C%D0%BE%D0%B0%D0%B8%20%D0%B2%20%D0%B1%D1%83%D1%85%D1%82%D0%B5%20%D0%9A%D0%B0%D0%BF%D1%81%D0%B5%D0%BB%D1%8C.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%97%D0%B2%D0%B5%D0%B7%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%20%D0%92%D0%BE%D1%81%D0%BF%D0%BE%D0%BC%D0%B8%D0%BD%D0%B0%D0%BD%D0%B8%D0%B9%20%E2%80%94%20%D0%91%D1%83%D0%B3%D0%B0%D0%B7.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%94%D0%B6%D0%B0%D0%BD-%D0%9A%D1%83%D1%82%D0%B0%D1%80%D0%B0%D0%BD.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%BB%D1%87%D0%B0%D0%BA-%D0%9A%D0%B0%D1%8F.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%94%D0%B6%D0%B0%D0%BD-%D0%9A%D1%83%D1%82%D0%B0%D1%80%D0%B0%D0%BD.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9C%D1%8B%D1%81%20%D0%91%D1%83%D0%B3%D0%B0%D0%B7.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D0%BB%D1%87%D0%B0%D0%BA-%D0%9A%D0%B0%D1%8F.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%94%D0%B6%D0%B0%D0%BD-%D0%9A%D1%83%D1%82%D0%B0%D1%80%D0%B0%D0%BD.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1009,Верхняя Балкария и Чегемские водопады,verkhnyaya-balkariya-chegem,1,Amra Turistik,https://amra-turistik.ru/tours/chegem-i-yazyk-trollya-s-krasaviczej-verhnej-balkariej-14,https://storage.yandexcloud.net/kraskideti/tours/%D0%9F%D1%80%D0%B8%D1%8D%D0%BB%D1%8C%D0%B1%D1%80%D1%83%D1%81%D1%8C%D0%B5.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%AF%D0%B7%D1%8B%D0%BA%20%D1%82%D1%80%D0%BE%D0%BB%D0%BB%D1%8F.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A7%D0%B5%D0%B3%D0%B5%D0%BC%D1%81%D0%BA%D0%B8%D0%B5%20%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4%D1%8B.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%92%D0%B5%D1%80%D1%85%D0%BD%D1%8F%D1%8F%20%D0%91%D0%B0%D0%BB%D0%BA%D0%B0%D1%80%D0%B8%D1%8F.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
да ,1010,"Весеннее цветение Крыма: тюльпаны, сады, пещерные города и дворцы",vesennee-czvetenie-kryma-2-dnya,2,Amra Turistik,https://amra-turistik.ru/tours/vesennee-czvetenie-kryma-tyulpany-sady-peshhernye-goroda-i-dvorczy-2,https://storage.yandexcloud.net/kraskideti/tours/%D0%9F%D0%B0%D1%80%D0%B0%D0%B4%20%D1%82%D1%8E%D0%BB%D1%8C%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%20%D0%B2%20%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D1%81%D0%BA%D0%BE%D0%BC%20%D1%81%D0%B0%D0%B4%D1%83.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9F%D0%B5%D1%89%D0%B5%D1%80%D0%BD%D1%8B%D0%B9%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%20%D0%9C%D0%B0%D0%BD%D0%B3%D1%83%D0%BF-%D0%9A%D0%B0%D0%BB%D0%B5.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%91%D0%B0%D1%85%D1%87%D0%B8%D1%81%D0%B0%D1%80%D0%B0%D0%B9%20%D0%B8%20%D0%A5%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B4%D0%B2%D0%BE%D1%80%D0%B5%D1%86.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9C%D0%BE%D1%80%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B3%D1%83%D0%BB%D0%BA%D0%B0%20%D0%BA%20%D0%9B%D0%B0%D1%81%D1%82%D0%BE%D1%87%D0%BA%D0%B8%D0%BD%D1%83%20%D0%B3%D0%BD%D0%B5%D0%B7%D0%B4%D1%83.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A6%D0%B2%D0%B5%D1%82%D1%83%D1%89%D0%B8%D0%B5%20%D0%BF%D0%B5%D1%80%D1%81%D0%B8%D0%BA%D0%BE%D0%B2%D1%8B%D0%B5%20%D1%81%D0%B0%D0%B4%D1%8B.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%A7%D1%83%D1%84%D1%83%D1%82-%D0%9A%D0%B0%D0%BB%D0%B5.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%A3%D1%81%D0%BF%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BC%D0%BE%D0%BD%D0%B0%D1%81%D1%82%D1%8B%D1%80%D1%8C.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%90%D1%8E-%D0%94%D0%B0%D0%B3.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%9A%D1%80%D1%8B%D0%BC%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BC%D0%BE%D1%81%D1%82.avif,https://storage.yandexcloud.net/kraskideti/tours/%D0%A3%D1%81%D0%BF%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BC%D0%BE%D0%BD%D0%B0%D1%81%D1%82%D1%8B%D1%80%D1%8C.webp,https://storage.yandexcloud.net/kraskideti/tours/%D0%93%D1%83%D1%80%D0%B7%D1%83%D1%84%20%E2%80%94%20%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%B0%D0%B4.jpg,https://storage.yandexcloud.net/kraskideti/tours/%D0%9F%D0%B5%D1%89%D0%B5%D1%80%D0%BD%D1%8B%D0%B9%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%20%D0%9C%D0%B0%D0%BD%D0%B3%D1%83%D0%BF-%D0%9A%D0%B0%D0%BB%D0%B5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
