title,slug,tour_url,region,duration_days,price_from
Абрау — Новороссийск — Геленджик,abrau-novorossijsk-gelendzhik-1-den,https://kraski.travel/tours/abrau-novorossijsk-gelendzhik-1-den,Краснодарский край,1,3000
Абрау-Дюрсо по-новому и Геленджик,abrau-dyurso-po-novomu-gelendzhik,https://kraski.travel/tours/abrau-dyurso-po-novomu-gelendzhik,Краснодарский край,1,3000
Абрау-Дюрсо: винный день,abrau-dyurso-vinnyj-den,https://kraski.travel/tours/abrau-dyurso-vinnyj-den,Краснодарский край,1,3900
Абрау-Дюрсо: эко-тропа и Шато-Пино,abrau-eko-tropa-shato-pino,https://kraski.travel/tours/abrau-eko-tropa-shato-pino,Краснодарский край,1,3000
Абхазия на 3 дня,abhazia-3-dnya,https://kraski.travel/tours/abhazia-3-dnya,Абхазия,3,14500
Адыгея: горы и термальные источники,adygeya-termy-weekend,https://kraski.travel/tours/adygeya-termy-weekend,Адыгея,2,5900
Архыз: горный уикенд,arhyz-gornyj-weekend,https://kraski.travel/tours/arhyz-gornyj-weekend,Кавказ,2,9900
Беларусь: Путь Магнатов,belarus-put-magnatov-5-dnej,https://kraski.travel/tours/belarus-put-magnatov-5-dnej,Беларусь,5,32800
Белорусская мозаика,belorusskaya-mozaika-1-den,https://kraski.travel/tours/belorusskaya-mozaika-1-den,Беларусь,1,5500
Белорусские каникулы,belorusskie-kanikuly-3-dnya,https://kraski.travel/tours/belorusskie-kanikuly-3-dnya,Беларусь,3,18900
Белые ночи Петербурга — 4 дня,peterburg-belye-nochi-4-dnya,https://kraski.travel/tours/peterburg-belye-nochi-4-dnya,Санкт-Петербург,4,21140
Блистательный Петербург — 3 дня,peterburg-blistatelnyj-3-dnya,https://kraski.travel/tours/peterburg-blistatelnyj-3-dnya,Санкт-Петербург,3,8450
Большое путешествие в Беларусь,bolshoe-puteshestvie-v-belarus-8-dnej,https://kraski.travel/tours/bolshoe-puteshestvie-v-belarus-8-dnej,Беларусь,8,52000
Великолепие Восточного Крыма: от Звездопада Воспоминаний до Алчак-Кая,velikolepie-vostochnogo-kryma-zvezdopad-alchak,https://kraski.travel/tours/velikolepie-vostochnogo-kryma-zvezdopad-alchak,Крым,1,5800
Верхняя Балкария и Чегемские водопады,verkhnyaya-balkariya-chegem,https://kraski.travel/tours/verkhnyaya-balkariya-chegem,Кавказ,1,5500
"Весеннее цветение Крыма: тюльпаны, сады, пещерные города и дворцы",vesennee-czvetenie-kryma-2-dnya,https://kraski.travel/tours/vesennee-czvetenie-kryma-2-dnya,Крым,2,13500
Весенние водопады Руфабго и Мишоко с конными прогулками,vodopady-rufabgo-mishoko-konnye,https://kraski.travel/tours/vodopady-rufabgo-mishoko-konnye,Адыгея,1,3000
Весенний Узбекистан: 7 дней от Ташкента до Самарканда,vesennij-uzbekistan-7-dnej,https://kraski.travel/tours/vesennij-uzbekistan-7-dnej,Узбекистан,7,82300
Весна в Лаго-Наки: Свято-Михайловский монастырь и термальные источники,lago-naki-monastyr-termy-1-den,https://kraski.travel/tours/lago-naki-monastyr-termy-1-den,Адыгея,1,3000
Винная классика: три центра винного туризма,vinnaya-klassika-tri-centra-vinnogo-turizma-1-den,https://kraski.travel/tours/vinnaya-klassika-tri-centra-vinnogo-turizma-1-den,Краснодарский край,1,3000
"Винодельни Азовского моря: Поместье Голубицкое, Шато-Тамань и Тамань",vinodelni-azovskogo-morya-golubickoe-taman,https://kraski.travel/tours/vinodelni-azovskogo-morya-golubickoe-taman,Краснодарский край,1,3000
"Винодельни Азовского моря: Фанагория, Шато-Тамань и Тамань",fanagoriya-shato-taman-taman,https://kraski.travel/tours/fanagoriya-shato-taman-taman,Краснодарский край,1,3000
"Водопады Жане, Голубая бездна и вечер в Геленджике",vodopady-zhane-golubaya-bezdna-gelendzhik,https://kraski.travel/tours/vodopady-zhane-golubaya-bezdna-gelendzhik,Краснодарский край,1,3000
Водопады Лазаревского района,vodopady-lazarevskogo-rajona,https://kraski.travel/tours/vodopady-lazarevskogo-rajona,Краснодарский край,1,3800
Водопады р. Жане — Голубая бездна — скала Парус,vodopady-zhane-golubaya-bezdna-parus,https://kraski.travel/tours/vodopady-zhane-golubaya-bezdna-parus,Краснодарский край,1,3000
"Вокруг Анапы и «Греция»: 800 ступеней, Кипарисовое озеро и Винное подворье Старого Грека",vokrug-anapy-800-stupenej-vinnyj-grek,https://kraski.travel/tours/vokrug-anapy-800-stupenej-vinnyj-grek,Краснодарский край,1,3000
"Вокруг Анапы: 800 ступеней, Кипарисовое озеро и Абрау-Дюрсо",vokrug-anapy-800-stupenej-kiparisovoe-abrau,https://kraski.travel/tours/vokrug-anapy-800-stupenej-kiparisovoe-abrau,Краснодарский край,1,3000
Волгоград — город-герой,volgograd-gorod-geroj,https://kraski.travel/tours/volgograd-gorod-geroj,Волгоградская область,2,8500
Всесвятское кладбище: тайны старого Краснодара,vsesvyatskoe-kladbishhe-ekskursiya,https://kraski.travel/tours/vsesvyatskoe-kladbishhe-ekskursiya,Краснодарский край,1,950
Вся Беларусь за 7 дней,vsya-belarus-7-dnej,https://kraski.travel/tours/vsya-belarus-7-dnej,Беларусь,7,42500
"Геленджик: море, скалы и набережная",gelendzhik-more-i-skaly,https://kraski.travel/tours/gelendzhik-more-i-skaly,Краснодарский край,1,3000
"Горный Дагестан за 4 дня: каньоны, аулы-призраки и водопады",gornyj-dagestan-4-dnya,https://kraski.travel/tours/gornyj-dagestan-4-dnya,Кавказ,4,28000
Города Золотой Руси,goroda-zolotoj-rusi-5-dnej,https://kraski.travel/tours/goroda-zolotoj-rusi-5-dnej,Центральная Россия,5,36550
Горячий Ключ + вечерний Парк Галицкого,goryachij-klyuch-park-galitskogo,https://kraski.travel/tours/goryachij-klyuch-park-galitskogo,Краснодарский край,1,3900
Горячий Ключ и капибары с альпаками на ферме,goryachij-klyuch-kapibary-i-alpaki-1-den,https://kraski.travel/tours/goryachij-klyuch-kapibary-i-alpaki-1-den,Краснодарский край,1,2600
Гранд-тур по Белой Руси,grand-tur-po-beloj-rusi-10-dnej,https://kraski.travel/tours/grand-tur-po-beloj-rusi-10-dnej,Беларусь,10,62000
Грозный и Аргунское ущелье,groznyj-2-dnya,https://kraski.travel/tours/groznyj-2-dnya,Кавказ,2,9900
"Грузия за 4 дня: Тбилиси, Кахетия и Мцхета",gruziya-4-dnya,https://kraski.travel/tours/gruziya-4-dnya,Грузия,4,38100
"Грузия за 5 дней: Тбилиси, каньон Дашбаши и Кахетия",gruziya-5-dnej-dashbashi,https://kraski.travel/tours/gruziya-5-dnej-dashbashi,Грузия,5,42800
"Грузия за 5 дней: Тбилиси, Кахетия и Мцхета",gruziya-5-dnej-tblisi-kahetiya,https://kraski.travel/tours/gruziya-5-dnej-tblisi-kahetiya,Грузия,5,42800
Гуамское ущелье и термальные источники,guamka-termy-relaks,https://kraski.travel/tours/guamka-termy-relaks,Краснодарский край,1,2800
Гузерипль — Лаго-Наки — Термальные источники,guzeripl-lago-naki-termy,https://kraski.travel/tours/guzeripl-lago-naki-termy,Адыгея,1,1900
Дагестан: Сулакский каньон и Дербент,dagestan-4-dnya,https://kraski.travel/tours/dagestan-4-dnya,Кавказ,4,22500
Два озера — Два моря: тюльпаны и Генеральские пляжи,dva-ozera-dva-morya-tyulpany-generalskie,https://kraski.travel/tours/dva-ozera-dva-morya-tyulpany-generalskie,Крым,1,5900
"Двухдневная красавица Осетия: Цейское ущелье, Город мёртвых и Кармадон",krasavica-osetiya-2-dnya,https://kraski.travel/tours/krasavica-osetiya-2-dnya,Кавказ,2,13500
"День в Крыму: Мрия, сакура и Ялта",krym-mriya-sakura-yalta-1-den,https://kraski.travel/tours/krym-mriya-sakura-yalta-1-den,Крым,1,5200
День в походе по загадочной Шапсугской,pokhod-po-shapsugskoj-dolmeny-labirint,https://kraski.travel/tours/pokhod-po-shapsugskoj-dolmeny-labirint,Краснодарский край,1,2800
Домбай: выходные в горах,dombay-weekend,https://kraski.travel/tours/dombay-weekend,Кавказ,2,9900
Дорогами Беларуси,dorogami-belarusi-3-dnya,https://kraski.travel/tours/dorogami-belarusi-3-dnya,Беларусь,3,16900
Заповедная Беларусь,zapovednaya-belarus-3-dnya,https://kraski.travel/tours/zapovednaya-belarus-3-dnya,Беларусь,3,21450
Земля под белыми крыльями,zemlya-pod-belymi-krylyami-10-dnej,https://kraski.travel/tours/zemlya-pod-belymi-krylyami-10-dnej,Беларусь,10,59200
Знакомство с Беларусью: вся Белоруссия за 9 дней,znakomstvo-s-belarusyu-9-dnej,https://kraski.travel/tours/znakomstvo-s-belarusyu-9-dnej,Беларусь,9,73200
