slug,action,gallery_before,gallery_after,comment
peterburg-belye-nochi-4-dnya,gallery_trimmed,8,5,"4 фото по СПБ (5,6,12,13), а остальные ДРУГИЕ ГОРОДА!!! |  | "
peterburg-blistatelnyj-3-dnya,gallery_trimmed,8,3,"4 фото по СПБ (1,2,6,7), а остальные ДРУГИЕ ГОРОДА!!! |  | "
vinodelni-azovskogo-morya-golubickoe-taman,gallery_trimmed,8,7,"5,6,7 фото не имеют отношения к туру |  | "
fanagoriya-shato-taman-taman,gallery_trimmed,6,5,3 и 5 фото не имеют отношения к туру |  | 
vokrug-anapy-800-stupenej-kiparisovoe-abrau,gallery_trimmed,6,5,1 фото не имеет отношение к туру |  | 
volgograd-gorod-geroj,gallery_trimmed,7,5,"Фото 6,7,8,9 не подходят. У Амры другой тур:По городам Поволжья ( Волгоград, Ульяновск, Казань, Нижний Новгород,Владимир) ( 8 дней), автобусный тур, от 52 600 |  | "
vsya-belarus-7-dnej,gallery_trimmed,4,2,"Фото 2,4,5,10 не имеют отношения к туру |  | от 52 921"
gelendzhik-more-i-skaly,gallery_trimmed,6,5,"Фото 5,8,9 не имеют отношения к туру | У Амры другой тур: Любимая классика, там где красиво: От Абрау до Геленджика | "
goroda-zolotoj-rusi-5-dnej,gallery_trimmed,9,8,"фото 8,10, 12 не имеют отношения к туру |  | от 37050"
goryachij-klyuch-park-galitskogo,gallery_trimmed,5,3,"У Амры: Горячий Ключ и капибары и альпаки на ферме, от 2600 | фото 4 и 5 не подходят | "
goryachij-klyuch-kapibary-i-alpaki-1-den,gallery_trimmed,6,5,6 фото лишнее |  | 
gruziya-4-dnya,gallery_trimmed,10,8,фото 5 и 10 не подходят |  | 
gruziya-5-dnej-dashbashi,gallery_trimmed,9,8,"фото 5,10 и 12 не подходят |  | "
gruziya-5-dnej-tblisi-kahetiya,gallery_trimmed,11,10,фото 5 не подходит |  | 
dagestan-4-dnya,gallery_trimmed,10,9,"У Амры:Горный Дагестан за 4 дня, от 28000 | 6 и7 фото одинаковые, 11 фото не подходит | "
zemlya-pod-belymi-krylyami-10-dnej,gallery_trimmed,4,3,"нет тура у ТО, МАХ кол-во дней у ТО 7!!! | фото1 и 6 не подходят, 7 и 8 повтор локации | "
znakomstvo-s-belarusyu-9-dnej,gallery_trimmed,9,6,"нет тура у ТО, МАХ кол-во дней у ТО 7!!! | фото2, 3 , 6 не подходят | "
znakomtes-belarus-3-dnya,gallery_trimmed,4,3,"3 дневный тур ТО:  Сокровища белорусской истории, от 29 661 | фото 3 не походит, 9 и 10 одинаковые | "
kazan-zolotaya-3-dnya,gallery_trimmed,8,7,"У ТО тур на 2 дня, от 12610 | последнее фото не подходит | "
zolotoe-kolco-weekend-2-dnya,gallery_trimmed,7,5,"у ТО ссылка на все Туры по Золотому кольцу на 2 дня | фото 1,4,9 не подходят | "
zolotoe-kolco-zhar-ptitsa-3-dnya,gallery_trimmed,9,7,"фото 4,7 и 10 не подходят |  | "
kazan-i-yoshkar-ola-6-dnej,gallery_trimmed,8,6,"фото 4,7,10,11 и 12 не подходят |  | "
iyunskie-prazdniki-v-belarusi-4-dnya,gallery_trimmed,4,3,"фото 4 не подходит, у ТО на 4 дня другой тур: Королевская охота, от 42316 |  | "
belarus-k-zubram-zamkam-belazam,gallery_trimmed,4,3,"у РТ: тур на 5 дней ""Легенды Беларуси, от 42316 | фото 4 не подходит | "
kavminvody-5-gorodov,gallery_trimmed,7,6,У Кандагара нет экскурсий по КМВ!!! | фото 5 не подходит | 
kazan-den-za-dnyom-5-dnej,gallery_trimmed,8,6,фото 2 и 4 не подходят |  | 
kazan-na-vyhodnye,gallery_trimmed,8,6,"фото 5, 8 и 10 не подходят |  | от 13070"
kazan-sokrovishcha-tatarstana,gallery_trimmed,8,6,фото 2 и 4 не подходят |  | 
kaliningrad-zhd-avia-tur,gallery_trimmed,11,10,5 фото не подходит |  | 
peterburg-klassicheskij-7-dnej,on_request_all_bad,8,8,"все фото, кроме 10 и 12 не подходят |  | "
